permno,permco,correlation
22517,21376,0.506510413414046
22592,21205,0.753431989907418
22752,21188,0.59692512626626
22753,894,0.538738554899646
22779,21230,0.535213976457606
22825,904,0.559371581077107
22840,21566,0.459734050471926
22859,20549,0.719948064719267
22905,899,0.0412136055427593
22921,871,0.514590123900185
23026,21326,0.535742150680916
23042,20646,0.762249922066164
23077,20900,0.626394615982917
23085,21570,0.73522100574222
23114,20397,0.636885176052099
23182,892,0.656223164094066
23229,20361,0.655126690397769
23297,6760,0.533567712596691
23393,1103,0.52213941860156
23473,912,0.835115819805714
23501,21432,0.64392882465882
23536,21931,0.705351377270012
23579,21743,0.727982078708772
23660,6304,0.773324488875428
23712,21458,0.655523751466483
23799,913,0.719480897998042
23819,20868,0.656489575020756
23835,21132,0.708988453279518
23887,925,0.426572886860669
23916,1194,0.705788777307071
23931,21300,0.683826150559817
23975,952,0.813599336611932
24010,21201,0.658064070238055
24053,21035,0.739513581280874
24097,5949,0.713878356151198
24109,20077,0.656000989671192
24193,6719,0.0208186411005076
24205,20684,0.545029082760331
24221,20258,0.699264960789753
24248,21206,0.772329296945079
24272,20222,0.78099202671225
24328,20662,0.727830802576018
24432,21032,0.691473020345705
24440,21328,0.782557384345768
24441,1071,0.594083690417329
24459,21411,0.569419731631259
24476,1033,0.533952015912428
24643,20060,0.729894897569556
24766,21303,0.785378271796907
24942,21492,0.715148971069024
24951,978,-0.0384303675269205
24969,21890,0.742838001112863
24985,21808,0.626968567155588
25081,1261,0.662493002301089
25099,21932,0.713705124185507
25129,779,0.722998696680431
25232,21332,0.835980532090558
25304,20884,0.722034358766288
25320,20384,0.485966352754176
25419,21916,0.742748101009545
25452,5195,0.41183343771196
25487,6391,0.715839652893466
25582,20883,0.739607691287601
25590,21255,0.727979187522775
25778,5220,0.801243468435962
25785,20750,0.70143236388537
25953,20596,0.840296503620366
26084,1186,0.558145299614599
26201,9654,0.372487683168648
26382,20745,0.653062292187425
26403,20587,0.743219412818983
26463,1191,0.647484768990943
26470,20649,0.771155488975209
26607,4255,0.465121585113839
26614,21637,0.737128774250984
26649,20015,0.518402632117604
26650,1177,0.673785778557517
26657,20844,0.283326984217663
26710,21111,0.868722120481277
26825,21041,0.433017360733126
27043,21859,0.695430611518323
27254,21670,0.710390029056381
27334,20392,0.683295044262657
27422,20462,0.718250020203761
27430,20518,0.695893901774355
27474,1131,0.622057858391681
27511,1072,0.731906623162305
27562,5169,0.650306136686124
27617,7337,-0.00598609028245091
27618,1100,0.514852281967423
27633,21541,0.785230725622493
27677,1109,0.418490163749269
27684,20239,0.79583294889116
27705,20996,0.73860114529991
27756,21476,0.74666897732358
27828,20908,0.630294382689887
27887,20277,0.372818303078541
27888,840,0.766323661517053
27909,6342,0.412287703586327
27959,20608,0.559543592607243
27975,21194,0.528285416932596
27983,21945,0.757130065490256
27991,21409,0.666762219583964
28118,21247,0.671898948375676
28222,20030,0.726353443331965
28223,5137,0.227956640755287
28302,21802,0.678645501337489
28310,21803,0.715133623947464
28345,21236,0.828921288031473
28388,21874,0.800621057503247
28484,20064,0.824719403730728
28564,20371,0.750945454223873
28629,1239,0.184716676169701
28804,20035,0.62681519887094
29014,20089,0.372087737830111
29050,1433,0.704772870044158
29058,6213,0.0551912403134325
29102,20201,0.723116509163065
29103,1405,0.509509536479961
29209,20217,0.798566481144316
29285,1303,-0.0191412279531631
29612,20283,0.769559969246716
29647,20245,0.597037283841331
29787,23650,0.111745255819038
29867,1263,0.532829151523034
29890,20333,0.370634613913633
29938,20340,0.555280080496612
29946,20340,0.600931333762243
30147,5713,0.604260646064797
30277,20386,0.724319166442221
30402,20404,0.709951144750977
30437,20419,0.8928715524599
30509,20442,0.0452912390060497
30593,1260,0.344292876644128
30648,20470,0.695377467369182
30680,20484,0.616896845290849
30681,1367,0.818194866117796
30737,5957,0.67121768964955
30761,1391,0.274410473618464
30796,1381,0.486686115022642
30840,20513,0.143163261488668
30940,1425,0.76979580257419
31051,6593,0.1057059495381
31070,1376,0.40530380327918
31077,20541,0.693401780503887
31078,1440,0.174423750177434
31238,5300,0.628003997646486
31480,20622,0.510654827995772
31500,1451,0.836205764962985
31668,1477,0.163688358545582
31691,20666,0.130876893843725
31799,5272,0.462734411322028
31974,20751,0.776136002591411
32046,1510,0.706910971858625
32054,6507,0.584102032900316
32062,1513,0.0513878557057892
32110,1506,0.682453766644175
32299,20832,-0.0587133984778224
32540,1523,0.551190436576122
32548,6311,0.528622525126321
32636,1539,0.558336781090988
32651,20897,0.57150031741446
32678,20898,0.643124280605625
32687,1545,0.28024855401078
32707,20902,0.698121123692138
32791,1543,0.717871153261955
32803,20922,0.615194442820263
32870,20932,0.45678254081454
32934,20945,0.656382642671834
32942,20945,0.793361321544788
32986,6748,0.756593459476674
33099,20972,0.801452842208513
33137,6863,0.626357695787218
33209,1557,0.657129641738121
33398,21056,0.1696789373727
33452,1577,0.643718468907952
33532,1582,0.186522728037197
33690,1606,0.104190070745989
33770,1610,-0.0315796553532413
33823,9028,0.61750087928078
33849,21125,0.217046013488343
33937,21147,-0.0243043897250871
34032,21161,0.741058656451281
34367,1632,0.689068052388195
34497,21259,0.718836476653185
34666,1783,0.200669741370841
34673,24025,0.494882312229615
34746,1741,0.687919652878224
34817,21308,0.748775129306473
34818,6346,0.583840333958965
34833,21322,0.737399499964254
34948,21348,0.623249399147975
34981,5599,0.171652325767851
35044,1620,0.627541157234179
35051,21360,0.764337574914343
35107,21365,0.779274934074848
35124,1629,0.511498855465292
35167,5259,0.63451386964886
35238,21383,0.675197356797117
35263,1658,0.725605180584182
35503,6545,0.605271471363242
35554,1689,0.602546380421214
35561,21438,0.100164545543479
35685,6736,0.63721256506804
35705,21163,-0.000801503200270065
35917,5908,0.633871142439598
35991,21526,0.706613143303548
36003,21530,0.721068568146634
36281,21587,0.580029190242331
36346,6281,0.71433808257145
36397,1856,0.572072609660171
36468,21609,0.52991551415822
36768,1768,0.162198130378016
36898,21669,0.589892459040015
37058,5848,0.673295795221055
37154,5152,0.0777579139841927
37161,21700,0.794653406964654
37217,21714,0.663556623186181
37234,1807,0.730292447511927
37284,21732,0.627110893337874
37381,1810,0.156345815604918
37399,21760,0.420276862473809
37402,1852,0.692978516359362
37460,21767,0.0186358392864749
37568,1688,0.794841156501691
37584,6407,0.816025395507039
37807,21856,0.712160955588391
37832,1693,0.213223672111361
37875,1868,0.822079958401206
37955,1959,0.694504550785009
38033,4905,0.600471271996991
38093,7094,0.669168119492923
38149,297,0.68473419735709
38156,21923,0.791149075952161
38172,21924,-0.250956211051796
38295,21948,0.476812027011644
38420,20532,0.675881304133719
38578,21745,0.779185193988987
38658,21269,0.647069436491287
38659,5242,0.612947182577236
38682,20594,0.816387732274454
38703,21305,0.731661901505331
38746,20193,0.169143289861619
38755,1932,0.689000007748677
38762,21244,0.735635275714357
38790,1933,0.43083781615729
38850,21623,0.529217859642396
38906,21904,0.559588690862251
38973,20953,0.717937746305531
39029,6080,0.160905243017892
39087,21833,0.409559238785356
39220,21658,0.68195106549783
39256,5929,0.194070562748878
39328,1964,0.12191937481913
39482,20066,0.0139758836288375
39490,20204,0.807270413684077
39538,21168,0.649648429757012
39571,2002,0.780997131350208
39642,20284,0.650319870305834
39693,20270,0.808136836597364
39731,1908,0.38254609441551
39757,20326,0.215067196043733
39766,2026,0.316855803265195
39917,21914,0.735682915622671
40125,20493,0.760464435270233
40272,20991,0.828206240711846
40416,20240,0.549042546873589
40440,20582,0.683786828848479
40468,2072,0.0187022685792952
40539,21949,0.566968933570991
40694,21736,0.652786608028328
40970,2183,0.105173838188517
41080,20543,0.808018052295323
41187,20890,0.616635039732133
41188,2088,0.0986366708317511
41217,2089,0.6164332352804
41241,2238,0.551014036752784
41292,6616,0.649629730933856
41320,21546,0.0220333876632911
41355,21367,0.833421309216835
41452,2116,0.632478621061128
41574,21594,0.275301544853157
41663,2209,0.650700892065055
41929,20501,0.681239748733548
42024,20316,0.675334484333002
42059,21900,0.670442187661484
42067,21031,0.675673876027967
42083,8127,0.308179639943996
42140,2227,0.690820116164675
42200,20616,0.690193882373559
42219,21713,0.224652344076428
42286,21935,0.765578777211913
42358,20271,0.247602500928932
42439,2191,0.760146218613209
42455,7154,0.215763714788377
42534,21019,0.761397883998624
42550,20672,0.738234645633337
42585,21629,0.48983877169008
42614,21219,0.741372130714021
42796,21189,0.803971002516906
42877,6606,0.722380550754875
42906,2093,0.658821043265212
42922,2235,0.57872133073533
43123,21722,0.781839420817626
43290,6708,0.244453877304696
43334,21696,0.113467670743497
43350,21664,0.807406607608963
43449,21177,0.61710906384605
43481,21662,0.656626638574114
43553,21849,0.796502518846514
43617,21853,0.0827236778436043
43634,2293,0.0513847301355315
43721,21123,0.719358461859641
43757,6560,0.528893283423792
43772,20292,0.727884724065458
43837,5342,0.512440338696019
44134,21045,0.841534061086248
44206,21299,0.709489647560706
44230,6104,0.0191331309693856
44274,2366,0.663439169597973
44329,21723,0.690035415426779
44506,6867,0.684367041684657
44513,21717,0.583665317812448
44601,20238,0.717339952522747
44644,20235,0.780417709180242
44768,5925,0.718472604960181
44813,6617,0.195269718323504
44943,20585,0.679240437208926
44951,21692,0.491263586325404
45225,21854,0.454729406651693
45241,20753,0.461177145362749
45277,5132,0.641489523016893
45306,5184,0.596683650346236
45356,21791,0.69155222272535
45373,2391,0.561642144187167
45437,2364,0.711837159369516
45495,21532,0.719975848740574
45560,6785,0.137938576649156
45655,20356,0.66361121472894
45728,7029,0.544532167226806
45751,21158,0.76147482677756
45794,21627,0.656616048425111
45911,20058,0.718811190879322
45955,5645,0.110813095076568
46042,6291,0.429174413881335
46068,21893,0.485641048852266
46077,6393,0.77099707435764
46181,2426,0.682681019378699
46340,21551,0.743358331533397
46392,6496,0.557015567142996
46463,20981,0.739344960366658
46578,20463,0.557294057427315
46674,20807,0.72342458743582
46690,20374,0.742392719406179
46703,21157,0.84149012089569
46834,20793,0.051979042039613
46877,20268,0.588692828331548
46886,2551,0.774745266079798
46907,6638,0.190880717235172
46922,21515,0.457009824475892
46923,2577,0.0890330769484934
46931,2584,0.0694232635123267
46950,2589,0.0475297750437448
47002,2488,0.685578094850036
47088,2502,0.687190861065922
47133,5113,0.136915803402225
47205,6985,0.769357494895532
47255,21075,0.635428233260771
47379,2519,0.691290898242049
47387,2519,0.25349855045498
47423,20272,0.398635350832666
47466,21280,0.627436059900817
47511,20653,0.730439336959689
