permno,permco,yearly_ret_2011
13111,53935,-0.0056497175141243
13112,21296,0.27609756097561
13113,53936,-0.398
13114,53120,-0.120214909335124
13116,53938,-0.0815576781778104
13117,53101,0.0271177685950414
13118,53101,0.00331886647944844
13121,53939,-0.169278996865204
13122,53120,-0.0500542005420054
13123,53940,0.0736543909348442
13124,53941,0.232044198895028
13125,50699,0.0223600692440856
13126,50699,0.0334751773049646
13129,50699,0.00481063587859702
13130,50699,0.00818080976150845
13131,50699,-0.00223294033583423
13132,50699,0.0252695417789757
13133,53942,0.0289999999999999
13137,53944,-1.99943374858437
13138,53944,-2.00349417637271
13139,53945,-0.0542465753424657
13140,53946,-0.368852459016393
13142,53948,0.12603305785124
13145,53949,0.0702151755379388
13159,53958,0.0833333333333333
13160,53959,0.0631229235880398
13161,53960,-0.145445913595087
13162,53961,0.0166204986149585
13163,53962,-0.0377860564129857
13165,53120,-1.94894026974952
13166,53120,-1.9835868694956
13167,53963,-0.124688279301746
13168,53964,-0.0889049512106975
13169,53965,-0.0094736842105263
13303,21245,0.146772767462423
13470,6743,0.407894736842105
13507,261,-0.165657488860962
13610,21329,-0.0461165048543691
13688,21356,-0.130196243933319
13769,7119,-0.0696178188048533
13777,5828,0.381578947368421
13856,21384,0.00912547528517102
13901,21398,0.210204081632653
